instance_type,vcpus,memory,dbus
m4.large,2,8,0.4
m4.xlarge,4,16,0.75
m4.2xlarge,8,32,1.5
m4.4xlarge,16,64,3
m4.10xlarge,40,160,8
m4.16xlarge,64,256,12
m5.large,2,8,0.34
m5.xlarge,4,16,0.69
m5.2xlarge,8,32,1.37
m5.4xlarge,16,64,2.74
m5.8xlarge,32,128,5.48
m5.12xlarge,48,192,8.23
m5.16xlarge,64,256,10.96
m5.24xlarge,96,384,16.46
m5a.large,2,8,0.31
m5a.xlarge,4,16,0.61
m5a.2xlarge,8,32,1.23
m5a.4xlarge,16,64,2.46
m5a.8xlarge,32,128,4.91
m5a.12xlarge,48,192,7.37
m5a.16xlarge,64,256,9.83
m5a.24xlarge,96,384,14.74
m5d.large,2,8,0.34
m5d.xlarge,4,16,0.69
m5d.2xlarge,8,32,1.37
m5d.4xlarge,16,64,2.74
m5d.8xlarge,32,128,5.48
m5d.12xlarge,48,192,8.23
m5d.16xlarge,64,256,10.96
m5d.24xlarge,96,384,16.46
m5dn.large,2,8,0.41
m5dn.xlarge,4,16,0.82
m5dn.2xlarge,8,32,1.63
m5dn.4xlarge,16,64,3.26
m5dn.8xlarge,32,128,6.53
m5dn.12xlarge,48,192,9.79
m5dn.16xlarge,64,256,13.06
m5dn.24xlarge,96,384,19.58
m5n.large,2,8,0.36
m5n.xlarge,4,16,0.71
m5n.2xlarge,8,32,1.43
m5n.4xlarge,16,64,2.86
m5n.8xlarge,32,128,5.71
m5n.12xlarge,48,192,8.57
m5n.16xlarge,64,256,11.42
m5n.24xlarge,96,384,17.14
m5zn.large,2,8,0.5
m5zn.xlarge,4,16,1
m5zn.2xlarge,8,32,2
m5zn.3xlarge,12,48,3
m5zn.6xlarge,24,96,6
m5zn.12xlarge,48,192,12
m6g.large,2,8,0.39
m6g.xlarge,4,16,0.77
m6g.2xlarge,8,32,1.54
m6g.4xlarge,16,64,3.07
m6g.8xlarge,32,128,6.13
m6g.12xlarge,48,192,9.21
m6g.16xlarge,64,256,12.28
