instance_type,vcpus,memory,dbus,cloud
m4.large,2,8,0.4,AWS
m4.xlarge,4,16,0.75,AWS
m4.2xlarge,8,32,1.5,AWS
m4.4xlarge,16,64,3,AWS
m4.10xlarge,40,160,8,AWS
m4.16xlarge,64,256,12,AWS
m5.large,2,8,0.34,AWS
m5.xlarge,4,16,0.69,AWS
m5.2xlarge,8,32,1.37,AWS
m5.4xlarge,16,64,2.74,AWS
m5.8xlarge,32,128,5.48,AWS
m5.12xlarge,48,192,8.23,AWS
m5.16xlarge,64,256,10.96,AWS
m5.24xlarge,96,384,16.46,AWS
m5a.large,2,8,0.31,AWS
m5a.xlarge,4,16,0.61,AWS
m5a.2xlarge,8,32,1.23,AWS
m5a.4xlarge,16,64,2.46,AWS
m5a.8xlarge,32,128,4.91,AWS
m5a.12xlarge,48,192,7.37,AWS
m5a.16xlarge,64,256,9.83,AWS
m5a.24xlarge,96,384,14.74,AWS
m5d.large,2,8,0.34,AWS
m5d.xlarge,4,16,0.69,AWS
m5d.2xlarge,8,32,1.37,AWS
m5d.4xlarge,16,64,2.74,AWS
m5d.8xlarge,32,128,5.48,AWS
m5d.12xlarge,48,192,8.23,AWS
m5d.16xlarge,64,256,10.96,AWS
m5d.24xlarge,96,384,16.46,AWS
m5dn.large,2,8,0.41,AWS
m5dn.xlarge,4,16,0.82,AWS
m5dn.2xlarge,8,32,1.63,AWS
m5dn.4xlarge,16,64,3.26,AWS
m5dn.8xlarge,32,128,6.53,AWS
m5dn.12xlarge,48,192,9.79,AWS
m5dn.16xlarge,64,256,13.06,AWS
m5dn.24xlarge,96,384,19.58,AWS
m5n.large,2,8,0.36,AWS
m5n.xlarge,4,16,0.71,AWS
m5n.2xlarge,8,32,1.43,AWS
m5n.4xlarge,16,64,2.86,AWS
m5n.8xlarge,32,128,5.71,AWS
m5n.12xlarge,48,192,8.57,AWS
m5n.16xlarge,64,256,11.42,AWS
m5n.24xlarge,96,384,17.14,AWS
m5zn.large,2,8,0.5,AWS
m5zn.xlarge,4,16,1,AWS
m5zn.2xlarge,8,32,2,AWS
m5zn.3xlarge,12,48,3,AWS
m5zn.6xlarge,24,96,6,AWS
m5zn.12xlarge,48,192,12,AWS
m6g.large,2,8,0.39,AWS
m6g.xlarge,4,16,0.77,AWS
m6g.2xlarge,8,32,1.54,AWS
m6g.4xlarge,16,64,3.07,AWS
m6g.8xlarge,32,128,6.13,AWS
m6g.12xlarge,48,192,9.21,AWS
m6g.16xlarge,64,256,12.28,AWS
m6gd.large,2,8,0.39,AWS
m6gd.xlarge,4,16,0.77,AWS
m6gd.2xlarge,8,32,1.54,AWS
m6gd.4xlarge,16,64,3.07,AWS
m6gd.8xlarge,32,128,6.13,AWS
m6gd.12xlarge,48,192,9.21,AWS
m6gd.16xlarge,64,256,12.28,AWS
m6i.large,2,8,0.38,AWS
m6i.xlarge,4,16,0.76,AWS
m6i.2xlarge,8,32,1.52,AWS
m6i.4xlarge,16,64,3.04,AWS
m6i.8xlarge,32,128,6.08,AWS
m6i.12xlarge,48,192,9.12,AWS
m6i.16xlarge,64,256,12.16,AWS
m6i.24xlarge,96,384,18.24,AWS
m6i.32xlarge,128,512,24.32,AWS
m6id.large,2,8,0.38,AWS
m6id.xlarge,4,16,0.76,AWS
m6id.2xlarge,8,32,1.52,AWS
m6id.4xlarge,16,64,3.04,AWS
m6id.8xlarge,32,128,6.08,AWS
m6id.12xlarge,48,192,9.12,AWS
m6id.16xlarge,64,256,12.16,AWS
m6id.24xlarge,96,384,18.24,AWS
m6id.32xlarge,128,512,24.32,AWS
m6idn.large,2,8,0.38,AWS
m6idn.xlarge,4,16,0.76,AWS
m6idn.2xlarge,8,32,1.52,AWS
m6idn.4xlarge,16,64,3.04,AWS
m6idn.8xlarge,32,128,6.08,AWS
m6idn.12xlarge,48,192,9.12,AWS
m6idn.16xlarge,64,256,12.16,AWS
m6idn.24xlarge,96,384,18.24,AWS
m6idn.32xlarge,128,512,24.32,AWS
m6in.large,2,8,0.38,AWS
m6in.xlarge,4,16,0.76,AWS
m6in.2xlarge,8,32,1.52,AWS
m6in.4xlarge,16,64,3.04,AWS
m6in.8xlarge,32,128,6.08,AWS
m6in.12xlarge,48,192,9.12,AWS
m6in.16xlarge,64,256,12.16,AWS
m6in.24xlarge,96,384,18.24,AWS
m6in.32xlarge,128,512,24.32,AWS
m7g.large,2,8,0.48,AWS
m7g.xlarge,4,16,0.96,AWS
m7g.2xlarge,8,32,1.92,AWS
m7g.4xlarge,16,64,3.84,AWS
m7g.8xlarge,32,128,7.68,AWS
m7g.12xlarge,48,192,11.52,AWS
m7g.16xlarge,64,256,15.36,AWS
m7gd.large,2,8,0.48,AWS
m7gd.xlarge,4,16,0.96,AWS
m7gd.2xlarge,8,32,1.92,AWS
m7gd.4xlarge,16,64,3.84,AWS
m7gd.8xlarge,32,128,7.68,AWS
m7gd.12xlarge,48,192,11.52,AWS
m7gd.16xlarge,64,256,15.36,AWS
r3.xlarge,4,31,1,AWS
r3.2xlarge,8,61,2,AWS
r3.4xlarge,16,122,4,AWS
r3.8xlarge,32,244,8,AWS
r4.xlarge,4,31,1,AWS
r4.2xlarge,8,61,2,AWS
r4.4xlarge,16,122,4,AWS
r4.8xlarge,32,244,8,AWS
r4.16xlarge,64,488,16,AWS
r5.large,2,16,0.45,AWS
r5.xlarge,4,32,0.9,AWS
r5.2xlarge,8,64,1.8,AWS
r5.4xlarge,16,128,3.6,AWS
r5.8xlarge,32,256,7.2,AWS
r5.12xlarge,48,384,10.8,AWS
r5.16xlarge,64,512,14.4,AWS
r5.24xlarge,96,768,21.6,AWS
r5a.large,2,16,0.41,AWS
r5a.xlarge,4,32,0.81,AWS
r5a.2xlarge,8,64,1.61,AWS
r5a.4xlarge,16,128,3.23,AWS
r5a.8xlarge,32,256,6.46,AWS
r5a.12xlarge,48,384,9.69,AWS
r5a.16xlarge,64,512,12.91,AWS
r5a.24xlarge,96,768,19.37,AWS
r5d.large,2,16,0.45,AWS
r5d.xlarge,4,32,0.9,AWS
r5d.2xlarge,8,64,1.8,AWS
r5d.4xlarge,16,128,3.6,AWS
r5d.8xlarge,32,256,7.2,AWS
r5d.12xlarge,48,384,10.8,AWS
r5d.16xlarge,64,512,14.4,AWS
r5d.24xlarge,96,768,21.6,AWS
r5dn.large,2,16,0.52,AWS
r5dn.xlarge,4,32,1.04,AWS
r5dn.2xlarge,8,64,2.09,AWS
r5dn.4xlarge,16,128,4.18,AWS
r5dn.8xlarge,32,256,8.35,AWS
r5dn.12xlarge,48,384,12.53,AWS
r5dn.16xlarge,64,512,16.7,AWS
r5dn.24xlarge,96,768,25.06,AWS
r5n.large,2,16,0.45,AWS
r5n.xlarge,4,32,0.9,AWS
r5n.2xlarge,8,64,1.8,AWS
r5n.4xlarge,16,128,3.6,AWS
r5n.8xlarge,32,256,7.2,AWS
r5n.12xlarge,48,384,10.8,AWS
r5n.16xlarge,64,512,14.4,AWS
r5n.24xlarge,96,768,21.6,AWS
r6g.large,2,16,0.5,AWS
r6g.xlarge,4,32,1,AWS
r6g.2xlarge,8,64,2,AWS
r6g.4xlarge,16,128,4,AWS
r6g.8xlarge,32,256,8,AWS
r6g.12xlarge,48,384,12,AWS
r6g.16xlarge,64,512,16,AWS
r6gd.large,2,16,0.5,AWS
r6gd.xlarge,4,32,1,AWS
r6gd.2xlarge,8,64,2,AWS
r6gd.4xlarge,16,128,4,AWS
r6gd.8xlarge,32,256,8,AWS
r6gd.12xlarge,48,384,12,AWS
r6gd.16xlarge,64,512,16,AWS
r6i.large,2,16,0.51,AWS
r6i.xlarge,4,32,1.02,AWS
r6i.2xlarge,8,64,2.04,AWS
r6i.4xlarge,16,128,4.08,AWS
r6i.8xlarge,32,256,8.16,AWS
r6i.12xlarge,48,384,12.24,AWS
r6i.16xlarge,64,512,16.32,AWS
r6i.24xlarge,96,768,24.48,AWS
r6i.32xlarge,128,1024,32.64,AWS
r6id.large,2,16,0.51,AWS
